,slide_name,Fibrosis Percentage,scar,group,study,expanded_analysis,total_nuclei,total_connexins,total_connexin_area,total_mean_plaque_size,total_connexin_count_per_cell,annotation_area,total_connexin_area_per_cell,total_connexins_per_annotation_area,total_nuclei_count_per_annotation_area,total_nuclei_area_per_annotation_area,subject,sample,section,location,spacing
237,11-9C,3.11,healthy,infarct,sbrt,,,,,,,,,,,,11,9C,9,mid,3.0
238,11-9D,22.53,border,infarct,sbrt,,,,,,,,,,,,11,9D,9,mid,3.0
239,12-10A,29.09,border,infarct,sbrt,,,,,,,,,,,,12,10A,10,base,3.0
240,12-14A,10.86,healthy,infarct,sbrt,False,377967.0,2185240.0,27431190.25,12.552941667734437,5.781562940680007,2563207,72.57562234269129,10.701902050829293,0.14745863287670485,2.363999669164449,12,14A,14,base,3.0
241,12-14B,2.79,healthy,infarct,sbrt,,,,,,,,,,,,12,14B,14,base,3.0
242,12-1A,42.62,center,infarct,sbrt,,,,,,,,,,,,12,1A,1,apex,3.0
243,12-2A,44.34,center,infarct,sbrt,False,184170.0,95429.0,1384852.5,14.51186222217565,0.5181571374273769,279599,7.519424987783027,4.9529951823862035,0.6586933429661765,14.395371585735285,12,2A,2,apex,3.0
244,12-2B,40.38,center,infarct,sbrt,False,351894.0,619356.0,7836084.75,12.651988113459787,1.7600641102150079,971250,22.268310201367456,8.068040926640927,0.3623104247104247,6.8482131274131275,12,2B,2,apex,3.0
245,12-2C,22.9,healthy,infarct,sbrt,,,,,,,,,,,,12,2C,2,apex,3.0
246,12-3A,47.09,center,infarct,sbrt,,,,,,,,,,,,12,3A,3,apex,3.0
247,12-3B,44.97,center,infarct,sbrt,,,,,,,,,,,,12,3B,3,apex,3.0
248,12-3C,34.91,border,infarct,sbrt,,,,,,,,,,,,12,3C,3,apex,3.0
249,12-3D,19.57,healthy,infarct,sbrt,,,,,,,,,,,,12,3D,3,apex,3.0
250,12-4A,46.89,center,infarct,sbrt,,,,,,,,,,,,12,4A,4,apex,3.0
251,12-4B,45.49,center,infarct,sbrt,,,,,,,,,,,,12,4B,4,apex,3.0
252,12-4C,32.98,border,infarct,sbrt,,,,,,,,,,,,12,4C,4,apex,3.0
253,12-4D,18.97,healthy,infarct,sbrt,,,,,,,,,,,,12,4D,4,apex,3.0
254,12-5A,24.37,border,infarct,sbrt,,,,,,,,,,,,12,5A,5,mid,3.0
255,12-5B,37.4,border,infarct,sbrt,False,969288.0,1026584.0,13267584.0,12.924012063308993,1.059111430245706,1105740,13.687968900883948,11.998827934234088,0.8765966682945358,15.601283755674933,12,5B,5,mid,3.0
256,12-5C,40.87,border,infarct,sbrt,False,366415.0,362067.0,4865785.5,13.438909096935097,0.9881336735668572,728482,13.279438614685533,6.679348974991832,0.5029842878753353,9.72877504179925,12,5C,5,mid,3.0
257,12-5D,22.17,healthy,infarct,sbrt,,,,,,,,,,,,12,5D,5,mid,3.0
258,12-6A,45.99,center,infarct,sbrt,,,,,,,,,,,,12,6A,6,mid,3.0
259,12-6B,37.49,border,infarct,sbrt,,,,,,,,,,,,12,6B,6,mid,3.0
260,12-6C,16.91,healthy,infarct,sbrt,,,,,,,,,,,,12,6C,6,mid,3.0
261,12-6D,33.22,border,infarct,sbrt,,,,,,,,,,,,12,6D,6,mid,3.0
262,12-7A,39.49,border,infarct,sbrt,,,,,,,,,,,,12,7A,7,mid,3.0
263,12-7B,43.34,center,infarct,sbrt,,,,,,,,,,,,12,7B,7,mid,3.0
264,12-7C,32.89,border,infarct,sbrt,,,,,,,,,,,,12,7C,7,mid,3.0
265,12-7D,4.18,healthy,infarct,sbrt,,,,,,,,,,,,12,7D,7,mid,3.0
266,12-8A,28.92,border,infarct,sbrt,False,759899.0,868318.0,10948207.0,12.608522453755421,1.1426755397756807,1628217,14.407450200618767,6.724046610494793,0.46670621913418175,7.983791011886008,12,8A,8,mid,3.0
267,12-8B,38.01,border,infarct,sbrt,False,500150.0,273471.0,3432657.75,12.552181949822833,0.546777966610017,773621,6.863256523043087,4.437131037032345,0.6465052008670913,13.45698022675186,12,8B,8,mid,3.0
