,slide_name,Fibrosis Percentage,scar,group,study,expanded_analysis,total_nuclei,total_connexins,total_connexin_area,total_mean_plaque_size,total_connexin_count_per_cell,annotation_area,total_connexin_area_per_cell,total_connexins_per_annotation_area,total_nuclei_count_per_annotation_area,total_nuclei_area_per_annotation_area,subject,sample,section
117,08-8C,1.5,healthy,radiation,sbrt,,,,,,,,,,,,8,8C,8
118,08-9A,26.13,border,radiation,sbrt,,,,,,,,,,,,8,9A,9
119,08-9B,45.56,center,radiation,sbrt,,,,,,,,,,,,8,9B,9
120,08-9C,1.91,healthy,radiation,sbrt,,,,,,,,,,,,8,9C,9
121,09-10A,13.13,border,radiation,sbrt,,,,,,,,,,,,9,10A,10
122,09-10B,18.76,border,radiation,sbrt,,,,,,,,,,,,9,10B,10
123,09-10C,1.99,healthy,radiation,sbrt,,,,,,,,,,,,9,10C,10
124,09-11A,37.62,border,radiation,sbrt,,,,,,,,,,,,9,11A,11
125,09-11B,25.86,border,radiation,sbrt,,,,,,,,,,,,9,11B,11
126,09-11C,2.26,healthy,radiation,sbrt,,,,,,,,,,,,9,11C,11
127,09-12A,6.03,healthy,radiation,sbrt,,,,,,,,,,,,9,12A,12
128,09-12B,1.81,healthy,radiation,sbrt,,,,,,,,,,,,9,12B,12
129,09-13A,1.65,healthy,radiation,sbrt,,,,,,,,,,,,9,13A,13
130,09-13B,1.82,healthy,radiation,sbrt,,,,,,,,,,,,9,13B,13
131,09-15A,3.3,healthy,radiation,sbrt,FALSE,158320,603714,7948647,13.166245937645972,3.813251642243557,762034,50.206208943911065,10.430829857985339,0.20775975875092187,3.7350931848185254,9,15A,15
132,09-15B,2.41,healthy,radiation,sbrt,,,,,,,,,,,,9,15B,15
133,09-2A,,center,radiation,sbrt,FALSE,254345,569500,7248363,12.727590869183494,2.2390847077788045,823845,28.498154082053905,8.798212042313784,0.30872919056375897,6.157415533261718,9,2A,2
134,09-2B,,border,radiation,sbrt,FALSE,171146,581391,7880563.25,13.554670178932938,3.397046965748542,752537,46.04585120306639,10.471994400275335,0.2274253624738717,4.733364937537955,9,2B,2
135,09-4B,73.08,center,radiation,sbrt,,,,,,,,,,,,9,4B,4
136,09-4C,3.64,healthy,radiation,sbrt,,,,,,,,,,,,9,4C,4
137,09-5A,50.49,center,radiation,sbrt,FALSE,380711,560709,7764566.5,13.84776506173434,1.472794324303737,941420,20.394909787213923,8.247717809266852,0.40440079879331225,8.802448960081579,9,5A,5
138,09-5B,68.64,center,radiation,sbrt,FALSE,471549,592400,8104235.75,13.68034393990547,1.2562851368574635,1063949,17.186412758801314,7.617128029632999,0.4432063942914557,9.004197335,9,5B,5
139,09-5C,4.83,healthy,radiation,sbrt,,,,,,,,,,,,9,5C,5
140,09-6A,59.99,center,radiation,sbrt,,,,,,,,,,,,9,6A,6
141,09-6B,66.55,center,radiation,sbrt,,,,,,,,,,,,9,6B,6
142,09-6C,2.62,healthy,radiation,sbrt,,,,,,,,,,,,9,6C,6
143,09-7A,59.74,center,radiation,sbrt,,,,,,,,,,,,9,7A,7
144,09-7B,65.6,center,radiation,sbrt,,,,,,,,,,,,9,7B,7
145,09-7C,3.46,healthy,radiation,sbrt,,,,,,,,,,,,9,7C,7
146,09-8A,45.9,center,radiation,sbrt,FALSE,291618,224979,2924561,12.999262153356536,0.7714852992613624,516597,10.02873965255917,5.661203994603143,0.5644980516727739,11.77170986281376,9,8A,8
147,09-8B,49.6,center,radiation,sbrt,,,,,,,,,,,,9,8B,8
148,09-8C,31.22,border,radiation,sbrt,FALSE,144730,231230,2804510.25,12.128660857155213,1.5976646168727977,375960,19.37753230152698,7.459597430577721,0.38496116608149805,7.583185046281519,9,8C,8
149,09-8D,1.73,healthy,radiation,sbrt,,,,,,,,,,,,9,8D,8
150,09-9A,16.82,border,radiation,sbrt,,,,,,,,,,,,9,9A,9
151,09-9B,22.85,border,radiation,sbrt,,,,,,,,,,,,9,9B,9
152,09-9C,21.32,border,radiation,sbrt,,,,,,,,,,,,9,9C,9
153,09-9D,2.5,healthy,radiation,sbrt,,,,,,,,,,,,9,9D,9
154,10-10A,45.51,border,radiation,sbrt,,,,,,,,,,,,10,10A,10
155,10-10B,52.11,border,radiation,sbrt,,,,,,,,,,,,10,10B,10
156,10-12C,3.44,healthy,radiation,sbrt,,,,,,,,,,,,10,12C,12
157,10-13A,6.49,healthy,radiation,sbrt,,,,,,,,,,,,10,13A,13
158,10-13B,2.37,healthy,radiation,sbrt,,,,,,,,,,,,10,13B,13
159,10-14A,6.19,healthy,radiation,sbrt,,,,,,,,,,,,10,14A,14
160,10-14B,4.72,healthy,radiation,sbrt,,,,,,,,,,,,10,14B,14
161,10-16A,2.25,healthy,radiation,sbrt,FALSE,786089,1649631,20518778.5,12.438405012999876,2.0985295558136547,2435720,26.102360546960966,8.424112172170856,0.3227337296569392,4.9882403355065446,10,16A,16
162,10-16B,4.46,healthy,radiation,sbrt,,,,,,,,,,,,10,16B,16
163,10-18A,3.85,healthy,radiation,sbrt,,,,,,,,,,,,10,18A,18
164,10-18B,2.7,healthy,radiation,sbrt,,,,,,,,,,,,10,18B,18
165,10-1A,10.45,border,radiation,sbrt,,,,,,,,,,,,10,1A,1
166,10-1B,6.82,healthy,radiation,sbrt,,,,,,,,,,,,10,1B,1
167,10-2A,47.41,center,radiation,sbrt,FALSE,359034,305178,3659597.75,11.991682722869932,0.8499974932736175,664212,10.19290025457199,5.509683278832662,0.5405412729670648,11.247586237526573,10,2A,2
168,10-2B,,healthy,radiation,sbrt,FALSE,364944,659635,8398954.75,12.732730601014197,1.8074964926125652,1024579,23.01436590271384,8.197469155623919,0.356189225,6.727979736067204,10,2B,2
169,10-3A,33.05,center,radiation,sbrt,,,,,,,,,,,,10,3A,3
170,10-3B,6.46,healthy,radiation,sbrt,,,,,,,,,,,,10,3B,3
171,10-4A,31.03,border,radiation,sbrt,,,,,,,,,,,,10,4A,4
172,10-4B,23.72,border,radiation,sbrt,,,,,,,,,,,,10,4B,4
173,10-4C,12.33,healthy,radiation,sbrt,,,,,,,,,,,,10,4C,4
174,10-5A,13.8,border,radiation,sbrt,FALSE,230033,284430,3897276.25,13.70205762401997,1.2364747666639135,514463,16.94224850347559,7.575425735184066,0.44713225246519184,9.667781745237267,10,5A,5
175,10-5B,62.89,center,radiation,sbrt,FALSE,377697,101675,1329487.75,13.075856896975658,0.26919726659200366,479372,3.5199849350140457,2.7733946705272734,0.7878995852907554,16.75893408459401,10,5B,5
176,10-5C,48.37,border,radiation,sbrt,FALSE,285124,264647,3516205.5,13.286398485529782,0.9281821242687393,549771,12.332197570179991,6.395763872594226,0.5186232085722965,11.141861338630084,10,5C,5
177,10-5D,15.25,healthy,radiation,sbrt,,,,,,,,,,,,10,5D,5
178,10-6A,37.56,border,radiation,sbrt,,,,,,,,,,,,10,6A,6
179,10-6B,80.67,center,radiation,sbrt,,,,,,,,,,,,10,6B,6
180,10-6C,56.69,border,radiation,sbrt,,,,,,,,,,,,10,6C,6
181,10-7C,25.96,border,radiation,sbrt,,,,,,,,,,,,10,7C,7
182,10-8A,44.57,border,radiation,sbrt,FALSE,447788,154397,1843108.75,11.937464782346808,0.3447993246804291,602185,4.1160297953495855,3.060701860723864,0.7436053704426381,15.542560010627962,10,8A,8
183,10-8B,73.56,center,radiation,sbrt,FALSE,388600,144620,1707365.75,11.805875743327341,0.3721564590838909,533220,4.393632913021102,3.201991204380931,0.7287798657214658,15.296052286110799,10,8B,8
184,10-8C,33.85,border,radiation,sbrt,FALSE,678659,292590,3688018,12.604730168495164,0.4311296247452697,971249,5.434272588,3.797191039578934,0.6987487245804114,14.481985052236862,10,8C,8
185,10-8D,5.63,healthy,radiation,sbrt,,,,,,,,,,,,10,8D,8
186,10-9A,36.87,border,radiation,sbrt,,,,,,,,,,,,10,9A,9
187,10-9B,63.84,center,radiation,sbrt,,,,,,,,,,,,10,9B,9
188,10-9C,49.38,border,radiation,sbrt,,,,,,,,,,,,10,9C,9
189,10-9D,3.95,healthy,radiation,sbrt,,,,,,,,,,,,10,9D,9
190,11-10A,22.9,border,infarct,sbrt,,,,,,,,,,,,11,10A,10
191,11-10B,21.23,border,infarct,sbrt,,,,,,,,,,,,11,10B,10
192,11-10C,17.1,border,infarct,sbrt,,,,,,,,,,,,11,10C,10
193,11-10D,2.07,healthy,infarct,sbrt,,,,,,,,,,,,11,10D,10
194,11-11A,46.16,border,infarct,sbrt,,,,,,,,,,,,11,11A,11
195,11-11B,39.69,border,infarct,sbrt,,,,,,,,,,,,11,11B,11
196,11-11C,9.54,healthy,infarct,sbrt,,,,,,,,,,,,11,11C,11
197,11-11D,3.82,healthy,infarct,sbrt,,,,,,,,,,,,11,11D,11
198,11-12A,11.47,border,infarct,sbrt,,,,,,,,,,,,11,12A,12
199,11-12B,25.66,border,infarct,sbrt,,,,,,,,,,,,11,12B,12
200,11-12C,3.14,healthy,infarct,sbrt,,,,,,,,,,,,11,12C,12
201,11-13A,12.06,border,infarct,sbrt,,,,,,,,,,,,11,13A,13
202,11-13B,2.54,healthy,infarct,sbrt,,,,,,,,,,,,11,13B,13
203,11-14A,6.24,healthy,infarct,sbrt,,,,,,,,,,,,11,14A,14
204,11-14B,3.18,healthy,infarct,sbrt,,,,,,,,,,,,11,14B,14
205,11-18A,2.35,healthy,infarct,sbrt,FALSE,280533,1039702,12819242.5,12.329727652731263,3.7061664759582653,1320235,45.69602328,9.709818706518158,0.2124871708445845,3.090112934439702,11,18A,18
206,11-18B,3.71,healthy,infarct,sbrt,,,,,,,,,,,,11,18B,18
207,11-1A,32.74,border,infarct,sbrt,,,,,,,,,,,,11,1A,1
208,11-1B,80.4,center,infarct,sbrt,,,,,,,,,,,,11,1B,1
209,11-22A,3.01,healthy,infarct,sbrt,,,,,,,,,,,,11,22A,22
210,11-22B,2.78,healthy,infarct,sbrt,,,,,,,,,,,,11,22B,22
211,11-2A,45.92,border,infarct,sbrt,FALSE,427779,580748,7433039,12.799078085503522,1.357588848447446,1008527,17.37588567928767,7.370193361208971,0.42416216918337335,7.590089061,11,2A,2
212,11-2B,80.46,center,infarct,sbrt,,,,,,,,,,,,11,2B,2
213,11-2C,34.06,border,infarct,sbrt,,,,,,,,,,,,11,2C,2
214,11-2D,35.17,border,infarct,sbrt,,,,,,,,,,,,11,2D,2
215,11-3A,52.39,border,infarct,sbrt,,,,,,,,,,,,11,3A,3
216,11-3B,37.94,border,infarct,sbrt,,,,,,,,,,,,11,3B,3
217,11-3C,33.12,border,infarct,sbrt,,,,,,,,,,,,11,3C,3
218,11-3D,41.64,border,infarct,sbrt,,,,,,,,,,,,11,3D,3
219,11-4A,71.01,center,infarct,sbrt,,,,,,,,,,,,11,4A,4
220,11-4B,63.94,center,infarct,sbrt,,,,,,,,,,,,11,4B,4
221,11-4C,59.48,border,infarct,sbrt,,,,,,,,,,,,11,4C,4
222,11-4D,16.08,border,infarct,sbrt,,,,,,,,,,,,11,4D,4
223,11-4E,37.64,border,infarct,sbrt,,,,,,,,,,,,11,4E,4
224,11-5A,71.15,center,infarct,sbrt,FALSE,553239,404739,5295359.75,13.083393866170544,0.7315807453921361,957978,9.571559036871948,5.527642336254068,0.577506999,13.274787625603093,11,5A,5
225,11-5B,57.88,border,infarct,sbrt,FALSE,540116,594067,7862298.25,13.234699537257582,1.0998878018795963,1120389,14.556684582571151,7.017471833443563,0.4820789922071709,9.72154939,11,5B,5
226,11-5C,18.36,border,infarct,sbrt,,,,,,,,,,,,11,5C,5
227,11-5D,45.12,border,infarct,sbrt,,,,,,,,,,,,11,5D,5
228,11-6A,37.21,border,infarct,sbrt,,,,,,,,,,,,11,6A,6
229,11-6B,17.06,border,infarct,sbrt,,,,,,,,,,,,11,6B,6
230,11-6C,3.85,healthy,infarct,sbrt,,,,,,,,,,,,11,6C,6
231,11-6D,22.47,border,infarct,sbrt,,,,,,,,,,,,11,6D,6
232,11-7A,46.37,center,infarct,sbrt,,,,,,,,,,,,11,7A,7
233,11-7B,13.87,border,infarct,sbrt,,,,,,,,,,,,11,7B,7
234,11-7C,2.16,healthy,infarct,sbrt,,,,,,,,,,,,11,7C,7
235,11-7D,22.64,border,infarct,sbrt,,,,,,,,,,,,11,7D,7
236,11-8A,24.25,border,infarct,sbrt,FALSE,298492,399432,5213763.75,13.052944556269903,1.3381665170255819,697924,17.467013353791728,7.470388967853233,0.42768553596093556,8.109672758065349,11,8A,8
237,11-8B,25.39,border,infarct,sbrt,FALSE,289221,329906,4232252,12.828660285050892,1.1406709747909038,619127,14.633280432610357,6.835838204439477,0.4671432517076464,8.080046581719097,11,8B,8
238,11-8C,2.3,healthy,infarct,sbrt,,,,,,,,,,,,11,8C,8
239,11-8D,8.49,border,infarct,sbrt,,,,,,,,,,,,11,8D,8
240,11-9A,30.89,border,infarct,sbrt,,,,,,,,,,,,11,9A,9
241,11-9B,43.2,border,infarct,sbrt,,,,,,,,,,,,11,9B,9
242,11-9C,3.11,healthy,infarct,sbrt,,,,,,,,,,,,11,9C,9
243,11-9D,22.53,border,infarct,sbrt,,,,,,,,,,,,11,9D,9
244,12-10A,29.09,border,infarct,sbrt,,,,,,,,,,,,12,10A,10
245,12-14A,10.86,healthy,infarct,sbrt,FALSE,268335,950556,12038482,12.664674148603554,3.5424227178713177,1218891,44.86362941845082,9.876586175466059,0.22014683839654242,3.4348967627129907,12,14A,14
246,12-14B,2.79,healthy,infarct,sbrt,,,,,,,,,,,,12,14B,14
247,12-1A,42.62,center,infarct,sbrt,,,,,,,,,,,,12,1A,1
248,12-2A,44.34,center,infarct,sbrt,FALSE,184170,95429,1384852.5,14.51186222217565,0.5181571374273769,279599,7.519424987783027,4.9529951823862035,0.6586933429661765,14.395371585735285,12,2A,2
249,12-2B,40.38,center,infarct,sbrt,FALSE,291957,309009,3957267.75,12.806318747997631,1.0584058611370852,600966,13.554282822470432,6.584844650113317,0.485812841,9.313372969519074,12,2B,2
250,12-2C,22.9,healthy,infarct,sbrt,,,,,,,,,,,,12,2C,2
251,12-3A,47.09,center,infarct,sbrt,,,,,,,,,,,,12,3A,3
252,12-3B,44.97,center,infarct,sbrt,,,,,,,,,,,,12,3B,3
253,12-3C,34.91,border,infarct,sbrt,,,,,,,,,,,,12,3C,3
254,12-3D,19.57,healthy,infarct,sbrt,,,,,,,,,,,,12,3D,3
255,12-4A,46.89,center,infarct,sbrt,,,,,,,,,,,,12,4A,4
256,12-4B,45.49,center,infarct,sbrt,,,,,,,,,,,,12,4B,4
257,12-4C,32.98,border,infarct,sbrt,,,,,,,,,,,,12,4C,4
258,12-4D,18.97,healthy,infarct,sbrt,,,,,,,,,,,,12,4D,4
259,12-5A,24.37,border,infarct,sbrt,,,,,,,,,,,,12,5A,5
260,12-5B,37.4,border,infarct,sbrt,FALSE,969288,1026584,13267584,12.924012063308993,1.059111430245706,1105740,13.687968900883948,11.998827934234088,0.8765966682945358,15.601283755674933,12,5B,5
261,12-5C,40.87,border,infarct,sbrt,FALSE,366415,362067,4865785.5,13.438909096935097,0.9881336735668572,728482,13.279438614685533,6.679348974991832,0.5029842878753353,9.728775042,12,5C,5
262,12-5D,22.17,healthy,infarct,sbrt,,,,,,,,,,,,12,5D,5
263,12-6A,45.99,center,infarct,sbrt,,,,,,,,,,,,12,6A,6
