,Fibrosis Percentage,scar,annotation_area,expanded_analysis,group,study,location,sample,section,slide_name,subject,total_connexin_area,total_connexin_area_per_cell,total_connexin_count_per_cell,total_connexins,total_connexins_per_annotation_area,total_mean_plaque_size,total_nuclei,total_nuclei_area_per_annotation_area,total_nuclei_count_per_annotation_area
24,2.26,Healthy,626855,FALSE,radiation,sbrt,mid,8A,8,10-8A,10,1970949,4.261843084,0.355467669,164391,3.144186455,11.98939723,462464,15.40237655,0.73775275
25,6.03,Healthy,559870,FALSE,radiation,sbrt,mid,8B,8,10-8B,10,1775767,4.350663955,0.371692474,151710,3.171748799,11.70500956,408160,15.25846179,0.729026381
26,1.81,Healthy,971249,FALSE,radiation,sbrt,mid,8C,8,10-8C,10,3688018,5.434272588,0.431129625,292590,3.79719104,12.60473017,678659,14.48198505,0.698748725
101,22.9,Border,,,infarct,sbrt,base,10A,10,11-10A,11,,,,,,,,,
102,21.23,Border,,,infarct,sbrt,base,10B,10,11-10B,11,,,,,,,,,
103,17.1,Border,,,infarct,sbrt,base,10C,10,11-10C,11,,,,,,,,,
104,2.07,Healthy,,,infarct,sbrt,base,10D,10,11-10D,11,,,,,,,,,
105,46.16,Border,,,infarct,sbrt,base,11A,11,11-11A,11,,,,,,,,,
106,39.69,Border,,,infarct,sbrt,base,11B,11,11-11B,11,,,,,,,,,
107,9.54,Healthy,,,infarct,sbrt,base,11C,11,11-11C,11,,,,,,,,,
108,3.82,Healthy,,,infarct,sbrt,base,11D,11,11-11D,11,,,,,,,,,
109,11.47,Border,,,infarct,sbrt,base,12A,12,11-12A,11,,,,,,,,,
110,25.66,Border,,,infarct,sbrt,base,12B,12,11-12B,11,,,,,,,,,
111,3.14,Healthy,,,infarct,sbrt,base,12C,12,11-12C,11,,,,,,,,,
112,12.06,Border,,,infarct,sbrt,base,13A,13,11-13A,11,,,,,,,,,
113,2.54,Healthy,,,infarct,sbrt,base,13B,13,11-13B,11,,,,,,,,,
114,6.24,Healthy,,,infarct,sbrt,base,14A,14,11-14A,11,,,,,,,,,
115,3.18,Healthy,,,infarct,sbrt,base,14B,14,11-14B,11,,,,,,,,,
27,1.65,Healthy,2499606,FALSE,infarct,sbrt,base,18A,18,11-18A,11,25748632.25,58.83411383,4.71145304,2061958,10.30107635,12.48746689,437648,2.642465253,0.175086794
116,2.35,Healthy,,,infarct,sbrt,base,18A,18,11-18A,11,,,,,,,,,
117,3.71,Healthy,,,infarct,sbrt,base,18B,18,11-18B,11,,,,,,,,,
118,3.01,Healthy,,,infarct,sbrt,base,22A,22,11-22A,11,,,,,,,,,
119,2.78,Healthy,,,infarct,sbrt,base,22B,22,11-22B,11,,,,,,,,,
28,1.82,Healthy,1040818,FALSE,infarct,sbrt,apex,2A,2,11-2A,11,7619262,17.13930748,1.341289712,596269,7.320455642,12.77822929,444549,7.595988924,0.427115019
29,3.3,Healthy,1095743,FALSE,infarct,sbrt,apex,2B,2,11-2B,11,14747404.5,12.70557972,0.931545796,1081248,13.45881699,13.63924326,1160703,20.85721469,1.059283974
79,16.08,Border,,,infarct,sbrt,apex,4D,4,11-4D,11,,,,,,,,,
80,37.64,Border,,,infarct,sbrt,apex,4E,4,11-4E,11,,,,,,,,,
